,taxa 1,taxa 2,taxa 3,taxa 4,taxa 5,taxa 6,taxa 7,taxa 8,taxa 9,taxa 10,taxa 11,taxa 12,taxa 13,taxa 14,taxa 15,taxa 16,taxa 17,taxa 18,taxa 19,taxa 20,taxa 21,taxa 22,taxa 23,taxa 24,taxa 25,taxa 26,taxa 27,taxa 28,taxa 29,taxa 30,taxa 31,taxa 32,taxa 33,taxa 34,taxa 35,taxa 36,taxa 37,taxa 38,taxa 39,taxa 40,taxa 41,taxa 42,taxa 43,taxa 44,taxa 45,taxa 46,taxa 47,taxa 48,taxa 49,taxa 50,taxa 51,taxa 52,taxa 53,taxa 54,taxa 55,taxa 56,taxa 57,taxa 58,taxa 59,taxa 60,taxa 61,taxa 62,taxa 63,taxa 64,taxa 65,taxa 66,taxa 67,taxa 68,taxa 69,taxa 70,taxa 71,taxa 72,taxa 73,taxa 74,taxa 75,taxa 76,taxa 77,taxa 78,taxa 79,taxa 80,taxa 81,taxa 82,taxa 83,taxa 84,taxa 85,taxa 86,taxa 87,taxa 88,taxa 89,taxa 90,taxa 91,taxa 92
sample 1,3,950,319,4,0,335,0,599,3245,0,0,0,0,99,559,82,41,0,0,0,15,246,0,88,0,26,0,0,0,1385,0,0,43,128,0,0,0,109,0,28,13,51,128,0,0,0,0,2,0,0,0,44,16,0,0,61,0,6,0,97,0,0,0,0,10,0,0,0,11,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,40,0,0,0,0,0,0
sample 2,8,121,1011,0,2299,209,612,2442,4,231,101,806,18,112,0,14,62,0,10,0,0,0,0,188,0,44,0,0,50,9,100,83,41,3,26,8,0,43,0,0,20,0,0,0,0,11,0,15,0,0,0,28,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,15,0,0,0,0,0,0,0,0
sample 3,3,117,735,0,20,29,176,75,7,50,283,86,98,13,49,11,53,0,5,0,0,0,0,35,0,98,0,0,7,0,0,101,112,16,0,8,0,3,0,0,4,3,0,3,0,8,0,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 4,9,83,1194,0,8,217,331,361,44,167,97,477,56,149,0,17,17,0,0,0,0,0,0,119,0,102,0,0,42,5,27,31,74,17,6,70,0,17,11,0,4,25,0,28,0,48,0,6,0,0,0,81,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,11,4,0,0,0,0,8,0,0,0,0,0,0,0,0
sample 5,4564,1734,223,0,536,0,65,60,0,53,79,27,0,0,0,16,16,0,180,0,0,0,0,21,0,0,0,0,15,0,0,22,7,0,0,0,0,0,0,0,0,10,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
sample 6,1743,1353,353,0,807,6,72,27,0,22,9,22,0,0,26,14,8,0,50,0,0,0,0,23,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 7,1827,3209,806,0,878,31,195,31,3,19,16,31,0,9,0,52,16,0,184,0,0,0,0,33,0,0,0,0,0,15,10,77,11,0,0,0,0,0,0,0,0,40,10,9,0,0,0,3,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 8,8,761,453,0,668,9,625,14,7,253,0,36,45,0,38,0,23,0,0,0,0,0,0,34,0,67,0,0,0,9,22,52,61,0,0,0,0,0,0,0,0,11,0,0,0,8,0,12,0,12,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 9,32,1351,464,0,131,33,542,74,2,463,0,60,138,6,113,10,73,0,0,0,0,0,0,32,0,63,0,0,3,8,16,33,58,0,23,0,0,0,0,0,0,16,19,0,8,0,0,12,0,0,11,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,4,0,3,0,0,0,0,0,0,0,0
sample 10,7,1505,464,0,272,162,447,21,0,519,0,10,254,19,96,0,42,0,0,0,0,0,0,81,0,100,0,0,31,26,28,49,101,0,32,12,0,0,0,21,0,0,4,8,0,18,0,0,9,21,25,5,0,0,0,9,0,6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,6,9,8,0,0,0,0,0,0,0,0,0,0,0,0
sample 11,9,1043,511,2,9,65,380,166,3,1519,0,76,0,0,0,24,0,0,0,0,0,0,0,0,0,60,0,0,0,39,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 12,6,1918,871,0,0,402,0,1691,97,0,0,16,0,353,1337,130,98,0,0,33,0,456,0,86,0,27,0,0,38,666,0,2,0,454,19,0,0,0,0,57,145,22,344,0,0,19,0,3,0,13,0,32,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 13,0,203,116,0,0,0,83,1105,107,406,0,33,0,0,0,7,2,0,11,0,0,0,0,5,0,19,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 14,8,682,323,0,0,80,199,1082,50,545,0,120,0,0,0,28,4,0,9,0,0,0,0,15,0,22,0,0,0,107,0,5,23,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 15,128,1128,65,32,166,0,166,8,3,69,0,113,0,0,93,56,26,10,0,0,0,0,63,125,0,0,0,0,0,0,0,50,0,0,0,0,9,0,19,0,0,0,35,0,4,0,0,0,4,0,0,2,0,0,37,0,5,0,0,0,0,0,104,46,0,0,0,0,0,0,26,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 16,168,1886,308,3,104,6,402,276,131,1173,176,148,0,25,102,94,0,64,0,0,0,13,97,66,0,0,0,3,125,58,11,134,0,0,0,0,0,0,27,5,10,0,28,92,53,0,0,11,0,0,0,0,11,0,54,2,0,5,0,0,0,0,111,77,0,0,0,10,0,0,69,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0
sample 17,216,899,161,13,0,3,190,127,20,104,0,46,0,52,205,43,15,0,0,0,3,10,79,25,0,0,0,0,11,0,8,8,0,6,0,0,0,0,24,9,0,0,0,18,0,0,81,7,6,0,0,0,8,0,0,0,0,0,0,0,0,0,56,0,0,0,4,0,0,0,8,0,25,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 18,7,510,677,0,699,8,0,2162,40,0,0,12,0,519,195,40,90,0,0,0,0,123,0,96,0,0,0,0,11,953,0,0,7,292,32,437,0,23,0,26,42,56,160,0,0,0,0,0,0,2,40,17,0,0,0,63,9,14,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 19,8,2356,45,6,638,20,0,29,42,40,11,72,0,48,30,11,12,6,0,0,0,102,0,157,0,0,0,0,7,0,0,21,0,0,0,0,0,13,0,0,0,0,2,0,0,0,194,0,24,0,0,0,0,0,6,0,27,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 20,4,1894,178,0,14,23,11,132,143,26,0,0,0,51,33,3,30,0,0,0,0,64,0,32,0,0,0,0,5,23,0,30,0,0,93,5,0,0,0,11,0,13,4,0,0,7,362,0,14,9,0,0,0,0,6,19,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,17,0,0,0,0,0,0,0,0,18,0,0,0,0,0
sample 21,8,1052,100,0,29,9,0,17,256,62,2,44,0,42,25,0,43,0,0,0,0,77,0,65,0,0,138,0,0,3,0,17,0,0,18,3,0,44,0,0,0,0,0,0,5,78,407,10,18,5,0,16,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 22,5,914,434,14,21,50,114,99,45,3,0,330,0,9,0,23,13,0,15,0,0,61,0,165,0,0,0,0,8,4,0,71,0,0,6,0,0,16,76,0,9,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 23,5,607,512,0,67,471,266,70,7,34,0,63,0,92,29,18,31,0,0,0,0,24,0,13,0,0,0,0,0,3,0,14,0,0,18,53,0,0,196,0,0,15,0,0,0,0,17,4,0,33,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 24,538,1578,119,0,554,85,239,33,3,23,131,108,0,15,268,80,0,0,20,0,0,59,0,53,31,23,0,0,0,0,18,41,0,0,4,0,0,0,0,0,5,16,0,0,3,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,15,6,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0
sample 25,80,734,206,0,1728,8,139,6,0,42,0,56,0,12,0,57,72,0,0,0,0,0,0,11,51,21,0,0,0,0,9,44,28,0,9,0,0,0,0,8,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 26,169,829,223,16,517,5,138,158,0,89,6399,33,0,145,34,37,10,0,9,0,0,0,0,0,42,59,0,0,0,0,20,40,74,0,17,0,0,0,0,0,6,23,0,0,0,8,0,13,0,61,12,0,0,0,12,0,0,9,0,0,0,0,28,0,0,0,0,0,0,16,13,0,4,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
sample 27,3,1138,533,0,1966,58,0,712,622,0,0,24,0,0,157,30,84,0,0,0,0,0,0,263,0,0,0,0,5,228,0,0,0,22,0,0,0,60,0,15,13,59,13,0,0,0,0,0,0,8,0,0,0,0,0,0,16,67,0,58,0,0,0,0,0,0,0,0,19,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
sample 28,0,748,122,0,0,0,142,7,75,8,0,0,0,7,19,4,11,0,0,32,0,0,0,166,0,0,0,0,9,0,36,2,0,0,0,55,0,0,0,0,0,0,0,5,0,0,0,16,0,61,0,14,0,0,0,33,0,65,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 29,29,580,204,8,15,0,135,764,656,79,13,0,0,16,44,18,21,0,0,0,0,0,0,48,0,0,0,0,0,13,0,4,0,0,0,20,0,0,0,3,0,0,0,6,0,14,0,7,4,59,0,30,2,0,0,0,0,18,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0
sample 30,27,691,327,5,44,5,289,1048,962,27,0,6,6,22,30,12,83,0,0,0,0,0,0,50,0,0,0,0,5,2,36,10,0,13,0,31,0,0,0,0,0,9,0,13,0,10,0,11,4,44,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 31,8,172,59,0,1280,9,0,80,3,90,0,7,12,5,8,7,0,0,0,0,0,14,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 32,0,347,76,0,1269,11,62,48,52,83,0,22,8,5,30,19,0,28,0,0,0,12,0,27,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 33,0,410,134,0,1958,59,27,9,0,39,0,14,96,0,47,24,0,0,0,0,0,32,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 34,0,188,377,0,341,50,85,16,6,196,0,58,0,0,15,11,3,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 35,17,46,280,8,78,206,199,46,70,2107,0,26,0,4,3,6,10,0,0,0,0,0,0,8,0,62,0,0,0,0,0,0,24,19,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 36,14,81,505,17,337,280,205,140,205,2378,0,71,0,17,24,10,5,4,0,0,0,20,0,10,0,80,0,0,0,8,0,0,63,28,0,0,31,0,0,0,3,3,0,0,0,0,0,0,0,11,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 37,6,363,392,0,254,157,0,2771,133,0,0,0,0,22,16,25,7,0,0,0,0,0,0,0,0,0,0,0,22,231,0,0,0,45,12,0,0,15,0,8,3,0,4,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 38,9,600,477,0,3328,1322,0,2197,538,0,0,0,0,508,82,64,8,0,0,0,0,0,0,24,0,0,0,0,65,533,0,0,0,63,0,0,0,79,0,0,29,50,0,0,0,23,0,0,0,19,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 39,15,4661,172,5,2836,0,54,69,26,0,0,0,0,18,5,43,2,0,0,0,0,0,0,0,0,32,0,0,59,29,0,0,0,13,3,0,0,0,0,11,0,0,28,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 40,55,1219,72,18,604,15,0,28,0,0,0,0,0,51,0,24,12,0,0,0,0,0,0,0,0,20,0,0,46,0,0,13,24,0,37,0,0,0,0,0,0,0,19,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 41,9,13,175,0,20,107,111,240,1574,0,0,15,0,4,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 42,2,5,26,0,0,8,62,40,2160,3,0,17,0,0,0,8,7,4,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 43,6,30,377,0,18,570,380,728,4576,0,0,66,0,10,0,16,9,0,0,0,0,32,0,18,0,0,0,0,0,37,0,15,0,9,0,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
sample 44,374,3007,248,7,932,24,94,220,52,886,0,81,0,12,51,61,77,0,0,0,0,239,0,147,0,8,0,0,48,0,119,0,0,58,34,0,0,0,10,7,0,0,878,0,0,101,0,7,0,0,0,50,0,0,0,10,0,116,2,0,0,59,0,0,0,9,0,0,0,0,0,0,0,20,0,13,6,22,0,0,0,0,0,0,0,3,0,0,0,6,0,5
sample 45,871,943,218,153,901,53,35,166,2,1491,7,176,2,50,278,29,36,0,0,0,0,58,9,228,0,0,0,0,814,8,425,16,0,56,107,7,9,55,0,18,0,0,204,0,0,11,0,15,0,0,0,31,6,0,0,17,0,302,12,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 46,101,848,69,27,44,37,47,55,3,243,0,13,9,29,53,13,0,0,32,0,0,16,0,0,0,0,0,0,9,0,21,0,0,6,14,20,11,0,0,0,0,0,14,0,0,0,0,11,3,0,0,0,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
sample 47,16,1812,326,0,59,410,0,2356,100,49,0,35,0,126,185,33,0,0,0,0,0,0,0,186,0,0,0,0,41,215,0,45,0,50,0,0,0,225,0,10,13,0,321,0,0,16,0,0,0,308,40,0,0,0,0,0,13,90,0,0,0,0,0,0,287,20,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
sample 48,133,823,9704,10,237,11,1026,119,10,45,0,38,0,0,0,490,10,6063,0,0,0,0,0,118,0,0,0,0,271,76,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,16,8,44,0,0,0,0,0,8,0,0,0,0,0,0
sample 49,26,58,2100,0,109,0,0,941,1058,19,0,237,0,0,0,28,20,0,0,0,0,0,0,19,0,0,0,0,27,84,0,0,0,30,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,57,0,12,0,0,0,0,0,0,0,0,0,0
sample 50,288,98,246,27,11,4,79,16,4,21,0,82,0,4,3,11,0,0,0,0,0,0,0,7,0,5,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 51,0,1818,176,0,0,206,0,238,0,0,0,0,0,336,59,22,24,0,0,0,0,0,0,137,0,0,0,0,4,145,0,0,0,17,0,0,0,0,0,0,0,20,188,0,0,0,7,0,0,225,34,0,0,0,0,0,0,51,7,0,0,13,0,0,0,6,0,6,0,0,0,0,0,0,29,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
sample 52,16,89,48,0,124,2301,60,86,11,0,0,12,0,9,35,9,3,2,21,0,0,0,0,0,0,26,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 53,6,1809,494,0,678,1002,15,1621,74,0,0,70,0,65,392,17,15,0,0,0,0,7,0,102,0,0,0,0,0,79,0,29,0,8,0,119,0,64,0,0,8,10,223,0,0,0,0,0,5,210,7,0,27,106,4,0,0,21,0,0,0,60,0,0,0,43,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
sample 54,266,1350,237,0,900,123,410,1143,657,2,0,171,0,35,168,70,0,0,271,0,0,42,0,83,0,171,0,0,0,6,18,67,238,30,136,0,0,0,0,37,0,0,68,0,0,0,0,0,14,0,4,64,0,0,0,43,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 55,28,3737,3500,10,397,75,2319,1088,1036,7,0,813,0,699,113,73,0,57,0,0,0,154,0,69,0,0,0,0,33,63,49,50,35,151,437,0,0,6,0,35,4,13,5,232,0,0,64,2,0,0,0,30,394,0,0,14,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,2,0,13,0,6,0,0,0,0,0,0
sample 56,5,595,204,0,227,970,390,796,64,0,0,133,0,241,20,28,4,0,171,0,0,15,24,14,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,8,0,10,0,29,0,0,0,3,0,0,11,11,67,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 57,7,2548,1169,0,1961,537,632,795,284,0,0,41,0,30,39,31,20,4,84,0,0,21,105,20,0,19,0,0,0,8,0,15,0,14,16,11,0,5,0,28,0,0,0,12,7,0,0,19,0,0,0,12,684,0,0,140,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,24,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
sample 58,7,4588,3003,27,9,39,200,4042,2923,2,0,193,22,248,188,576,64,0,0,0,0,59,32,85,0,24,4,0,18,459,172,67,0,0,0,65,0,0,0,12,0,0,8,0,0,182,0,46,0,0,15,62,0,0,0,0,0,108,0,176,0,0,0,0,0,0,0,336,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
sample 59,10,1634,2537,20,8,8,146,1859,585,0,0,26,29,204,188,746,191,0,0,0,0,198,0,0,0,0,0,0,12,63,110,124,0,258,0,0,0,0,0,36,0,0,2,101,0,41,0,50,0,0,0,150,0,0,6,0,0,46,0,0,43,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,30,0,46,0,0,0,0,0,0,13,0,0,0,0,0
sample 60,6,121,488,5,4364,0,77,276,9,0,0,4,0,22,34,32,27,0,0,0,0,0,0,0,0,0,0,0,6,141,0,7,0,16,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 61,4,56,174,4,65,157,1129,1278,2364,0,0,183,0,417,421,13,17,922,0,0,0,48,0,290,0,0,0,0,116,11,327,155,0,17,0,119,5,163,0,0,0,10,0,0,8,23,0,0,0,0,0,26,6,0,12,0,0,238,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
sample 62,7,0,740,0,18,3356,1156,749,880,0,0,214,0,6,23,49,52,0,0,0,0,93,0,91,0,0,0,0,0,47,56,0,0,0,0,0,0,106,0,0,0,0,0,0,35,14,0,0,0,0,0,33,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,7
sample 63,0,64,379,5,2337,508,71,49,29,9,0,0,0,34,0,17,25,0,0,11,0,7,0,0,0,0,0,0,6,35,0,108,17,4,0,0,172,0,0,4,0,0,0,36,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 64,3,3,394,7,418,2291,332,51,21,0,0,58,7,45,16,216,3,0,0,0,0,14,0,8,0,0,0,0,6,18,0,47,0,0,0,0,634,0,0,15,0,0,0,24,0,0,0,7,0,0,0,9,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
sample 65,0,0,975,0,278,39,325,333,20,7,0,96,38,46,0,302,31,0,0,0,0,28,0,3,0,25,0,0,6,0,0,115,0,6,0,5,282,0,0,21,0,16,0,41,0,0,0,22,0,0,0,14,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
sample 66,5,174,331,0,10,2191,601,1244,31,52,14,150,878,135,72,11,23,0,0,0,0,0,0,14,0,26,0,0,0,5,18,85,40,12,0,22,0,0,0,0,0,0,0,63,0,0,0,22,45,0,0,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0
sample 67,616,221,21,3,12422,27,52,84,0,14,0,0,0,50,124,2,217,0,0,0,0,213,0,101,0,0,0,0,144,134,0,0,0,0,19,0,0,0,0,16,0,0,18,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,14,14,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0
sample 68,23,4270,358,5,0,1433,321,3162,462,71,0,65,157,183,124,70,51,0,0,36,0,48,0,61,0,19,0,0,17,17,45,83,0,0,132,44,0,0,41,0,4,0,72,43,0,4,0,56,38,0,6,62,0,0,0,0,22,33,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,9,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0
sample 69,7,476,279,6,0,387,767,1329,13,24,0,165,1125,95,97,8,53,0,0,16,0,39,0,61,0,76,0,0,3,3,0,55,102,5,0,26,0,0,38,16,0,28,0,62,0,22,0,36,24,0,0,5,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample 70,5,2751,330,2,4,27,109,637,5,49,0,48,15,45,39,116,29,0,0,0,0,15,0,0,0,0,0,0,67,12,15,13,0,0,42,0,0,0,0,16,0,0,131,3,0,0,0,22,33,22,0,51,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,0,14,0,0,0,0,0
